,game_title,game_id
0,gallerist,125153
1,five-tribes,157354
2,decrypto,225694
3,crew-mission-deep-sea,324856
4,anachrony,185343
5,clans-caledonia,216132
6,everdell,199792
7,7th-continent,180263
8,brass-lancashire,28720
9,concordia,124361
10,mars,184267
11,through-ages-story-civilization,25613
12,7-wonders,68448
13,war-ring-second-edition,115746
14,orleans,164928
15,beyond-sun,317985
16,battlestar-galactica-board-game,37111
17,7-wonders-duel,173346
18,dune-imperium,316554
19,twilight-imperium-fourth-edition,233078
20,pax-pamir-second-edition,256960
21,barrage,251247
22,ark-nova,342942
23,keyflower,122515
24,tzolk-mayan-calendar,126163
25,great-western-trail,193738
26,terraforming-mars,167791
27,clank-legacy-acquisitions-incorporated,266507
28,marvel-champions-card-game,285774
29,lost-ruins-arnak,312484
30,maracaibo,276025
31,clank-deck-building-adventure,201808
32,caverna-cave-farmers,102794
33,crew-quest-planet-nine,284083
34,race-galaxy,28143
35,mage-knight-board-game,96848
36,eclipse,72125
37,kanban-ev,284378
38,terra-mystica,120677
39,blood-rage,170216
40,frosthaven,295770
41,puerto-rico,3076
42,pandemic-legacy-season-2,221107
43,cthulhu-death-may-die,253344
44,brass-birmingham,224517
45,tainted-grail-fall-avalon,264220
46,twilight-struggle,12333
47,through-ages-new-story-civilization,182028
48,obsession,231733
49,too-many-bones,192135
50,architects-west-kingdom,236457
51,food-chain-magnate,175914
52,robinson-crusoe-adventures-cursed-island,121921
53,nemesis,167355
54,castles-burgundy,84876
55,mansions-madness-second-edition,205059
56,star-wars-rebellion,187645
57,agricola-revised-edition,200680
58,teotihuacan-city-gods,229853
59,paladins-west-kingdom,266810
60,fields-arle,159675
61,underwater-cities,247763
62,azul,230802
63,heat-pedal-metal,366013
64,grand-austria-hotel,182874
65,kingdom-death-monster,55690
66,inis,155821
67,sleeping-gods,255984
68,el-grande,93
69,eclipse-second-dawn-galaxy,246900
70,lisboa,161533
71,caylus,18602
72,feast-odin,177736
73,scythe,169786
74,cascadia,295947
75,star-wars-imperial-assault,164153
76,power-grid,2651
77,agricola,31260
78,gaia-project,220308
79,search-planet-x,279537
80,quacks-quedlinburg,244521
81,pandemic-legacy-season-1,161936
82,pandemic-legacy-season-0,314040
83,lords-waterdeep,110327
84,dominant-species,62219
85,aeons-end,191189
86,le-havre,35677
87,wingspan,266192
88,great-western-trail-second-edition,341169
89,arkham-horror-card-game,205637
90,viticulture-essential-edition,183394
91,raiders-north-sea,170042
92,mechs-vs-minions,209010
93,crokinole,521
94,gloomhaven,174430
95,voyages-marco-polo,171623
96,root,237182
97,gloomhaven-jaws-lion,291457
98,spirit-island,162886
99,android-netrunner,124742
100,village,104006
101,sherlock-holmes-consulting-detective-thames-murder,2511
102,res-arcana,262712
103,radlands,329082
104,splendor,148228
105,russian-railroads,144733
106,vinhos-deluxe-edition,175640
107,cosmic-encounter,39463
108,patchwork,163412
109,marco-polo-ii-service-khan,283948
110,alchemists,161970
111,dead-winter-crossroads-game,150376
112,isle-cats,281259
113,undaunted-normandy,268864
114,descent-journeys-dark-second-edition,104162
115,pandemic-iberia,198928
116,terraforming-mars-ares-expedition,328871
117,too-many-bones-undertow,235802
118,hansa-teutonica,43015
119,roll-galaxy,132531
120,ora-et-labora,70149
121,dune,283355
122,twilight-imperium-third-edition,12493
123,endeavor-age-sail,233398
124,troyes,73439
125,praga-caput-regni,308765
126,viscounts-west-kingdom,296151
127,war-mine-board-game,188920
128,memoir-44,10630
129,champions-midgard,172287
130,targi,118048
131,dominion-intrigue,40834
132,star-wars-outer-rim,271896
133,clank-space-deck-building-adventure,233371
134,just-one,254640
135,pandemic,30549
136,lorenzo-il-magnifico,203993
137,parks,266524
138,go,188
139,trickerion-legends-illusion,163068
140,resistance-avalon,128882
141,glen-more-ii-chronicles,265188
142,sagrada,199561
143,red-cathedral,227224
144,star-realms,147020
145,suburbia,123260
146,tyrants-underdark,189932
147,space-base,242302
148,war-ring,9609
149,dwellings-eldervale,271055
150,s-pretty-clever,244522
151,kemet,127023
152,xia-legends-drift-system,82222
153,watergate,274364
154,hadrians-wall,304783
155,magic-gathering,463
156,carnegie,310873
157,rajas-ganges,220877
158,aeons-end-war-eternal,218417
159,scout,291453
160,star-wars-x-wing-miniatures-game,103885
161,near-and-far,195421
162,quest-el-dorado,217372
163,combat-commander-europe,21050
164,codenames,178900
165,castles-mad-king-ludwig,155426
166,jaipur,54043
167,rising-sun,205896
168,horrified,282524
169,war-chest,249259
170,concordia-venus,256916
171,railways-world,17133
172,forbidden-stars,175155
173,tigris-euphrates,42
174,lord-rings-journeys-middle-earth,269385
175,stone-age,34635
176,dinosaur-island,221194
177,legendary-encounters-alien-deck-building-game,146652
178,eldritch-horror,146021
179,chaos-old-world,43111
180,ticket-ride-nordic-countries,31627
181,commands-colors-ancients,14105
182,age-steam,4098
183,mombasa,172386
184,its-wonderful-world,271324
185,dominion-second-edition,209418
186,welcome,233867
187,azul-summer-pavilion,287954
188,ra,12
189,sekigahara-unification-japan,25021
190,cartographers,263918
191,istanbul,148949
192,trajan,102680
193,dominion,36218
194,game-thrones-board-game-second-edition,103343
195,yokohama,196340
196,captain-sonar,171131
197,lord-rings-card-game,77423
198,unmatched-cobble-fog,294484
199,ticket-ride-europe,14996
200,arcadia-quest,155068
201,age-empires-iii-age-discovery,22545
202,western-legends,232405
203,indonesia,19777
204,navegador,66589
205,kingdomino,204583
206,modern-art,118
207,legendary-marvel-deck-building-game,129437
208,dungeon-petz,97207
209,detective-modern-crime-board-game,223321
210,imperial-settlers,154203
211,klask,165722
212,roll-player,169426
213,la-granja,146886
214,santorini,194655
215,imperial,24181
216,camel-second-edition,260605
217,chronicles-crime,239188
218,tapestry,286096
219,monikers,156546
220,dixit-odyssey,92828
221,endless-winter-paleoamericans,305096
222,galaxy-trucker,31481
223,sushi-go-party,192291
224,carcassonne,822
225,1830-railways-robber-barons,421
226,samurai,3
227,telestrations,46213
228,codenames-duet,224037
229,seasons,108745
230,goa-new-expedition,9216
231,steam,27833
232,wingspan-asia,366161
233,ankh-gods-egypt,285967
234,earth,350184
235,fury-dracula-thirdfourth-edition,181279
236,cyclades,54998
237,power-grid-deluxe-europenorth-america,155873
238,hero-realms,198994
239,marvel-united,298047
240,lewis-clark-expedition,140620
241,nemos-war-second-edition,187617
242,clash-cultures-monumental-edition,299659
243,splendor-duel,364073
244,ethnos,206718
245,cryptid,246784
246,aeons-end-legacy,241451
247,rococo,144344
248,unmatched-battle-legends-volume-one,274637
249,coimbra,245638
250,wonderlands-war,227935
251,zombicide-black-plague,176189
252,deception-murder-hong-kong,156129
253,hive,2655
254,hallertau,300322
255,flamme-rouge,199478
256,welcome-moon,339789
257,dice-throne-season-two-battle-chest,244271
258,oathsworn-deepwood,251661
259,bora-bora,127060
260,cthulhu-wars,139976
261,secret-hitler,188834
262,yinsh,7854
263,calico,283155
264,ticket-ride,9209
265,hanamikoji,158600
266,kanban-drivers-edition,109276
267,glory-rome,19857
268,fantasy-realms,223040
269,time-stories,146508
270,vindication,224783
271,forgotten-waters,302723
272,anno-1800,311193
273,1960-making-president,27708
274,shogun,20551
275,7-wonders-second-edition,316377
276,nemesis-lockdown,310100
277,century-golem-edition,232832
278,nidavellir,293014
279,under-falling-skies,306735
280,viticulture,128621
281,pulsar-2849,228341
282,my-city,295486
283,paleo,300531
284,isle-skye-chieftain-king,176494
285,star-realms-colony-wars,182631
286,taverns-tiefenthal,269207
287,micromacro-crime-city,318977
288,battle-line,760
289,space-alert,38453
290,princes-florence,555
291,final-girl,277659
292,meadow,314491
293,planet-unknown,258779
294,tichu,215
295,manhattan-project-energy-empire,176734
296,star-realms-frontiers,230253
297,nations,126042
298,onitama,160477
299,paths-glory,91
300,downforce,215311
301,kings-dilemma,245655
302,bitoku,323612
303,acquire,5
304,small-world,40692
305,long-shot-dice-game,295374
306,dead-winter-long-night,193037
307,bruxelles-1893,144592
308,dungeon-lords,45315
309,great-zimbabwe,111341
310,resistance,41114
311,tekhenu-obelisk-sun,297030
312,evolution-climate,182134
313,blood-bowl-team-manager-card-game,90137
314,azul-stained-glass-sintra,256226
315,antiquity,13122
316,century-spice-road,209685
317,gugng,250458
318,godfather-corleones-empire,195539
319,king-dead-second-edition,319966
320,endeavor,33160
321,ginkgopolis,128271
322,aeons-end-new-age,270633
323,pandemic-fall-rome,260428
324,pillars-earth,24480
325,agricola-all-creatures-big-and-small,119890
326,neuroshima-hex-30,21241
327,maria,40354
328,heaven-ale,227789
329,year-dragon,31594
330,summoner-wars-master-set,93260
331,tiny-epic-galaxies,163967
332,bruges,136888
333,destinies,285192
334,sale,172
335,here-i-stand,17392
336,tiny-towns,265736
337,kemet-blood-and-sand,297562
338,imperial-2030,54138
339,runewars,59294
340,glass-road,143693
341,imperium-classics,318184
342,sidereal-confluence,202426
343,51st-state-master-set,192458
344,innovation,63888
345,harry-potter-hogwarts-battle,199042
346,mission-red-planet-second-edition,176920
347,ghost-stories,37046
348,lost-cities,50
349,carpe-diem,245934
350,abyss,155987
351,san-juan,8217
352,dixit,39856
353,burgle-bros,172081
354,barenpark,219513
355,love-letter,277085
356,arboretum,140934
357,altiplano,234487
358,battlelore-second-edition,146439
359,skull-king,150145
360,saint-petersburg,9217
361,bonfire,304420
362,tikal,54
363,takenoko,70919
364,gates-loyang,39683
365,blood-clocktower,240980
366,star-wars-armada,163745
367,survive-escape-atlantis,2653
368,love-letter,129622
369,alien-frontiers,48726
370,mysterium,181304
371,clank-catacombs,365717
372,furnace,318084
373,sid-meiers-civilization-board-game,77130
374,ticket-ride-marklin,21348
375,exit-game-abandoned-cabin,203420
376,hannibal-rome-vs-carthage,234
377,awkward-guests-walton-case,188866
378,newton,244711
379,lords-hellas,222509
380,king-tokyo,70323
381,above-and-below,172818
382,bunny-kingdom,184921
383,twice-clever,269210
384,nusfjord,234277
385,merchants-marauders,25292
386,notre-dame,25554
387,chinatown,47
388,raiders-scythia,301880
389,mage-wars-arena,101721
390,die-macher,1
391,flamecraft,336986
392,schotten-totten,372
393,arkham-horror-third-edition,257499
394,gizmos,246192
395,mind-mgmt-psychic-espionage-game,284653
396,oath-chronicles-empire-and-exile,291572
397,return-dark-tower,256680
398,letters-whitechapel,59959
399,cloudspire,262211
400,dawn-zeds-third-edition,175095
401,codenames-pictures,198773
402,sherlock-holmes-consulting-detective-jack-ripper-w,204305
403,sheriff-nottingham,157969
404,black-orchestra,156858
405,thunderstone-quest,215341
406,charterstone,197376
407,sprawlopolis,251658
408,fantastic-factories,216600
409,millennium-blades,151347
410,chess,171
411,manhattan-project,63628
412,clash-cultures,40765
413,forbidden-desert,136063
414,spartacus-game-blood-and-treachery,128671
415,oceans,232414
416,blood-bowl-living-rulebook,15985
417,lord-rings-confrontation,18833
418,citadels,478
419,canvas,290236
420,so-clover,329839
421,summoner-wars-second-edition,332800
422,mandala,264241
423,middara-unintentional-malum-act-1,169427
424,risk-legacy,105134
425,glen-more,66362
426,fire-lake,144189
427,heroscape-master-set-rise-valkyrie,11170
428,darwins-journey,322289
429,civilization,71
430,skull,92415
431,revive,332772
432,pipeline,256730
433,lords-vegas,20437
434,mythic-battles-pantheon,186751
435,biblios,34219
436,betrayal-legacy,240196
437,cubitos,298069
438,santa-maria,229220
439,london-second-edition,236191
440,space-hulk-third-edition,54625
441,pandemic-cure,150658
442,arkham-horror,15987
443,kingsburg,27162
444,mansions-madness,83330
445,nippon,154809
446,claustrophobia,36932
447,boonlake,343905
448,blitzkrieg-world-war-two-20-minutes,258210
449,amun-re,5404
450,shadows-brimstone-city-ancients,146791
451,mystic-vale,194607
452,no-thanks,12942
453,1775-rebellion,128996
454,honey-buzz,284742
455,friday,43570
456,commands-colors-napoleonics,62222
457,advanced-squad-leader,243
458,firefly-game,138161
459,smartphone-inc,246684
460,fresco,66188
461,deus,162082
462,san-juan-second-edition,166669
463,point-salad,274960
464,flash-point-fire-rescue,100901
465,descent-journeys-dark,17226
466,few-acres-snow,79828
467,pandemic-reign-cthulhu,192153
468,raptor,177639
469,marvel-united-x-men,336382
470,imperial-settlers-empires-north,270844
471,lancaster,96913
472,zombie-kidz-evolution,256952
473,shadows-over-camelot,15062
474,stuffed-fables,233312
475,hanabi,98778
476,pitchcar,150
477,colt-express,158899
478,tiletum,351913
479,amerigo,137408
480,dune,121
481,wavelength,262543
482,macao,55670
483,exit-game-dead-man-orient-express,226522
484,labyrinth-war-terror-2001,62227
485,project-l,260180
486,hadara,269144
487,mice-and-mystics,124708
488,dice-forge,194594
489,blood-bowl-third-edition,712
490,citadels,205398
491,king-tokyo-dark-edition,293141
492,quadropolis,176396
493,junk-art,193042
494,unmatched-robin-hood-vs-bigfoot,274638
495,sword-sorcery,170771
496,great-western-trail-argentina,364011
497,iss-vanguard,325494
498,battlelore,25417
499,stockpile,161614
